Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
14,Adquisición de Vivienda,"$1,800,000.00",90.0,20 años,"$45,166.73",12%,Creciente,11.7909,"$19,637.71",Mensual
15,Adquisición de Vivienda,"$1,900,000.00",90.0,5 años,"$90,484.39",11%,Creciente,22.5224,"$39,341.04",Mensual
15,Adquisición de Vivienda,"$1,900,000.00",90.0,10 años,"$58,678.49",11%,Creciente,14.555,"$25,512.39",Mensual
15,Adquisición de Vivienda,"$1,900,000.00",90.0,20 años,"$47,644.06",12%,Creciente,11.7909,"$20,714.81",Mensual
16,Adquisición de Vivienda,"$2,000,000.00",90.0,5 años,"$95,216.48",11%,Creciente,22.5224,"$41,398.47",Mensual
16,Adquisición de Vivienda,"$2,000,000.00",90.0,10 años,"$61,736.57",11%,Creciente,14.555,"$26,841.99",Mensual
16,Adquisición de Vivienda,"$2,000,000.00",90.0,20 años,"$50,121.37",12%,Creciente,11.7909,"$21,791.9",Mensual
17,Adquisición de Vivienda,"$2,500,000.00",90.0,5 años,"$118,876.83",11%,Creciente,22.5224,"$51,685.58",Mensual
17,Adquisición de Vivienda,"$2,500,000.00",90.0,10 años,"$77,026.95",11%,Creciente,14.555,"$33,489.98",Mensual
17,Adquisición de Vivienda,"$2,500,000.00",90.0,20 años,"$62,507.97",12%,Creciente,11.7909,"$27,177.38",Mensual
18,Adquisición de Vivienda,"$3,000,000.00",90.0,5 años,"$142,537.21",11%,Creciente,22.5224,"$61,972.7",Mensual
18,Adquisición de Vivienda,"$3,000,000.00",90.0,10 años,"$92,317.35",11%,Creciente,14.555,"$40,137.98",Mensual
18,Adquisición de Vivienda,"$3,000,000.00",90.0,20 años,"$74,894.57",12%,Creciente,11.7909,"$32,562.86",Mensual
19,Adquisición de Vivienda,"$3,500,000.00",90.0,5 años,"$166,197.58",11%,Creciente,22.5224,"$72,259.82",Mensual
