Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
34,HIPOTECA BANCOMER FIJA,$180000.00,85.0%,5 años,"$ 9,349.62",11.20 %,Tasa fija anual,14.9 %,"$ 3,341.86",Mensual
35,HIPOTECA BANCOMER FIJA,$2160000.00,85.0%,5 años,"$ 110,233.07",11.20 %,Tasa fija anual,13.9 %,"$ 40,102.28",Mensual
36,HIPOTECA BANCOMER FIJA,$4140000.00,85.0%,5 años,"$ 211,116.50",11.20 %,Tasa fija anual,13.9 %,"$ 76,862.70",Mensual
37,HIPOTECA BANCOMER FIJA,$6120000.00,85.0%,5 años,"$ 312,000.05",11.20 %,Tasa fija anual,13.9 %,"$ 113,623.12",Mensual
38,HIPOTECA BANCOMER FIJA,$8100000.00,1.8888888888888888%,5 años,"$ 9,349.62",11.20 %,Tasa fija anual,14.9 %,"$ 3,341.86",Mensual
39,HIPOTECA BANCOMER FIJA,$10080000.00,85.0%,5 años,"$ 513,766.85",11.20 %,Tasa fija anual,13.9 %,"$ 187,143.97",Mensual
40,HIPOTECA BANCOMER FIJA,$12060000.00,85.0%,5 años,"$ 614,650.42",11.20 %,Tasa fija anual,13.9 %,"$ 223,904.39",Mensual
41,HIPOTECA BANCOMER FIJA,$14040000.00,85.0%,5 años,"$ 715,533.82",11.20 %,Tasa fija anual,13.8 %,"$ 260,664.81",Mensual
42,HIPOTECA BANCOMER FIJA,$16020000.00,85.0%,5 años,"$ 816,417.27",11.20 %,Tasa fija anual,13.8 %,"$ 297,425.24",Mensual
43,HIPOTECA BANCOMER FIJA,$18000000.00,85.0%,5 años,"$ 917,300.95",11.20 %,Tasa fija anual,13.8 %,"$ 334,185.66",Mensual
44,HIPOTECA BANCOMER FIJA,$19980000.00,85.0%,5 años,"$ 1,018,184.30",11.20 %,Tasa fija anual,13.8 %,"$ 370,946.08",Mensual
45,HIPOTECA BANCOMER FIJA TERRENO,$300000.00,70.0%,10 años,"$ 8,577.27",12.50 %,Tasa fija anual,14.8 %,"$ 3,073.90",Mensual
46,HIPOTECA BANCOMER FIJA TERRENO,$570000.00,70.0%,10 años,"$ 16,296.85",12.50 %,Tasa fija anual,14.7 %,"$ 5,840.40",Mensual
47,HIPOTECA BANCOMER FIJA TERRENO,$840000.00,70.0%,10 años,"$ 24,016.30",12.50 %,Tasa fija anual,14.7 %,"$ 8,606.91",Mensual
48,HIPOTECA BANCOMER FIJA TERRENO,$1110000.00,18.91891891891892%,10 años,"$ 8,577.27",12.50 %,Tasa fija anual,14.8 %,"$ 3,073.90",Mensual
49,HIPOTECA BANCOMER FIJA TERRENO,$1380000.00,70.0%,10 años,"$ 39,455.50",12.50 %,Tasa fija anual,14.7 %,"$ 14,139.92",Mensual
50,HIPOTECA BANCOMER FIJA TERRENO,$1650000.00,70.0%,10 años,"$ 47,175.00",12.50 %,Tasa fija anual,14.7 %,"$ 16,906.43",Mensual
51,HIPOTECA BANCOMER FIJA TERRENO,$1920000.00,70.0%,10 años,"$ 54,894.57",12.50 %,Tasa fija anual,14.7 %,"$ 19,672.93",Mensual
52,HIPOTECA BANCOMER FIJA TERRENO,$2190000.00,70.0%,10 años,"$ 62,614.10",12.50 %,Tasa fija anual,14.7 %,"$ 22,439.44",Mensual
53,HIPOTECA BANCOMER FIJA TERRENO,$2460000.00,70.0%,10 años,"$ 70,333.60",12.50 %,Tasa fija anual,14.7 %,"$ 25,205.95",Mensual
54,HIPOTECA BANCOMER FIJA TERRENO,$2730000.00,70.0%,10 años,"$ 78,053.17",12.50 %,Tasa fija anual,14.7 %,"$ 27,972.45",Mensual
55,HIPOTECA BANCOMER FIJA TERRENO,$300000.00,70.0%,5 años,"$ 12,703.92",12.50 %,Tasa fija anual,15.2 %,"$ 4,724.56",Mensual
