Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
15,Terminación de Obra,"$1,900,000.00",50%,20 años,"$25,838.86",11.25%,Fija,11.3915,"$11,234.29",Mensual
16,Terminación de Obra,"$2,000,000.00",50%,5 años,"$53,431.36",11%,Fija,22.6414,"$23,231.03",Mensual
16,Terminación de Obra,"$2,000,000.00",50%,10 años,"$34,831.40",11%,Fija,14.674,"$15,144.09",Mensual
16,Terminación de Obra,"$2,000,000.00",50%,20 años,"$27,168.56",11.25%,Fija,11.3915,"$11,812.42",Mensual
17,Terminación de Obra,"$2,500,000.00",50%,5 años,"$66,645.44",11%,Fija,22.6414,"$28,976.28",Mensual
17,Terminación de Obra,"$2,500,000.00",50%,10 años,"$43,395.52",11%,Fija,14.674,"$18,867.62",Mensual
17,Terminación de Obra,"$2,500,000.00",50%,20 años,"$33,816.94",11.25%,Fija,11.3915,"$14,703.02",Mensual
18,Terminación de Obra,"$3,000,000.00",50%,5 años,"$79,859.54",11%,Fija,22.6414,"$34,721.54",Mensual
18,Terminación de Obra,"$3,000,000.00",50%,10 años,"$51,959.62",11%,Fija,14.674,"$22,591.14",Mensual
18,Terminación de Obra,"$3,000,000.00",50%,20 años,"$40,465.32",11.25%,Fija,11.3915,"$17,593.62",Mensual
19,Terminación de Obra,"$3,500,000.00",50%,5 años,"$93,073.64",11%,Fija,22.6414,"$40,466.80",Mensual
19,Terminación de Obra,"$3,500,000.00",50%,10 años,"$60,523.71",11%,Fija,14.674,"$26,314.66",Mensual
19,Terminación de Obra,"$3,500,000.00",50%,20 años,"$47,113.72",11.25%,Fija,11.3915,"$20,484.23",Mensual
20,Terminación de Obra,"$4,000,000.00",50%,5 años,"$106,287.71",11%,Fija,22.6414,"$46,212.05",Mensual
20,Terminación de Obra,"$4,000,000.00",50%,10 años,"$69,087.83",11%,Fija,14.674,"$30,038.19",Mensual
20,Terminación de Obra,"$4,000,000.00",50%,20 años,"$53,762.10",11.25%,Fija,11.3915,"$23,374.83",Mensual
21,Terminación de Obra,"$4,500,000.00",50%,5 años,"$119,501.81",11%,Fija,22.6414,"$51,957.31",Mensual
21,Terminación de Obra,"$4,500,000.00",50%,10 años,"$77,651.93",11%,Fija,14.674,"$33,761.71",Mensual
21,Terminación de Obra,"$4,500,000.00",50%,20 años,"$60,410.51",11.25%,Fija,11.3915,"$26,265.44",Mensual
