Subproducto,"Institución",Producto,Moneda,"Valor Vivienda",Aforo,Plazo,"Ingresos Requeridos","Tasa de Interés","Tipo de Tasa",CAT,"CAT Incluye IVA",Pago,"Frecuencia de Pago",Avaluo,"Comisión por Apertura","Gastos Notariales","Desembolso Inicial"
29,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,8000000,95.0,84,264480.0,11.2,Fija,13.5,0,132240.0,Mensual,17200.0,95000.0,160000.0,672200.0
30,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,8500000,95.0,84,281010.0,11.2,Fija,13.6,0,140505.0,Mensual,19800.0,100937.5,170000.0,715737.5
31,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,9000000,95.0,84,297540.0,11.2,Fija,13.6,0,148770.0,Mensual,19800.0,106875.0,180000.0,756675.0
32,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,9500000,95.0,84,314070.0,11.2,Fija,13.5,0,157035.0,Mensual,19800.0,112812.5,190000.0,797612.5
33,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,10000000,95.0,84,330600.0,11.2,Fija,13.5,0,165300.0,Mensual,19800.0,118750.0,200000.0,838550.0
34,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,400000,95.0,120,10716.0,11.3,Fija,13.5,0,5358.0,Mensual,1800.0,4750.0,8000.0,34550.0
35,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,500000,95.0,120,13395.0,11.3,Fija,13.4,0,6697.5,Mensual,1800.0,5937.5,10000.0,42737.5
36,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,600000,95.0,120,16074.0,11.3,Fija,13.4,0,8037.0,Mensual,2500.0,7125.0,12000.0,51625.0
37,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,700000,95.0,120,18753.0,11.3,Fija,13.4,0,9376.5,Mensual,2500.0,8312.5,14000.0,59812.5
38,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,800000,95.0,120,21432.0,11.3,Fija,13.4,0,10716.0,Mensual,2500.0,9500.0,16000.0,68000.0
39,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,900000,95.0,120,24111.0,11.3,Fija,13.4,0,12055.5,Mensual,2500.0,10687.5,18000.0,76187.5
40,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1000000,95.0,120,26790.0,11.3,Fija,13.4,0,13395.0,Mensual,2500.0,11875.0,20000.0,84375.0
41,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1100000,95.0,120,29469.0,11.3,Fija,13.4,0,14734.5,Mensual,4000.0,13062.5,22000.0,94062.5
42,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1200000,95.0,120,32148.0,11.3,Fija,13.4,0,16074.0,Mensual,4000.0,14250.0,24000.0,102250.0
43,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1300000,95.0,120,34827.0,11.3,Fija,13.4,0,17413.5,Mensual,4000.0,15437.5,26000.0,110437.5
44,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1400000,95.0,120,37506.0,11.3,Fija,13.4,0,18753.0,Mensual,4000.0,16625.0,28000.0,118625.0
45,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1500000,95.0,120,40185.0,11.3,Fija,13.4,0,20092.5,Mensual,4000.0,17812.5,30000.0,126812.5
46,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1600000,95.0,120,42864.0,11.3,Fija,13.4,0,21432.0,Mensual,4000.0,19000.0,32000.0,135000.0
47,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1700000,95.0,120,45543.0,11.3,Fija,13.4,0,22771.5,Mensual,4000.0,20187.5,34000.0,143187.5
48,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1800000,95.0,120,48222.0,11.3,Fija,13.4,0,24111.0,Mensual,4000.0,21375.0,36000.0,151375.0
49,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1900000,95.0,120,50901.0,11.3,Fija,13.4,0,25450.5,Mensual,4000.0,22562.5,38000.0,159562.5
50,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,2000000,95.0,120,53580.0,11.3,Fija,13.4,0,26790.0,Mensual,4000.0,23750.0,40000.0,167750.0
51,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,2500000,95.0,120,66975.0,11.3,Fija,13.4,0,33487.5,Mensual,6700.0,29687.5,50000.0,211387.5
52,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,3000000,95.0,120,80370.0,11.3,Fija,13.4,0,40185.0,Mensual,6700.0,35625.0,60000.0,252325.0
53,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,3500000,95.0,120,93765.0,11.3,Fija,13.4,0,46882.5,Mensual,9600.0,41562.5,70000.0,296162.5
54,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,4000000,95.0,120,107160.0,11.3,Fija,13.4,0,53580.0,Mensual,9600.0,47500.0,80000.0,337100.0
55,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,4500000,95.0,120,120555.0,11.3,Fija,13.4,0,60277.5,Mensual,12300.0,53437.5,90000.0,380737.5
56,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,5000000,95.0,120,133950.0,11.3,Fija,13.4,0,66975.0,Mensual,12300.0,59375.0,100000.0,421675.0
57,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,5500000,95.0,120,147345.0,11.3,Fija,13.4,0,73672.5,Mensual,17200.0,65312.5,110000.0,467512.5
58,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,6000000,95.0,120,160740.0,11.3,Fija,13.4,0,80370.0,Mensual,17200.0,71250.0,120000.0,508450.0
59,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,6500000,95.0,120,174135.0,11.3,Fija,13.4,0,87067.5,Mensual,17200.0,77187.5,130000.0,549387.5
60,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,7000000,95.0,120,187530.0,11.3,Fija,13.4,0,93765.0,Mensual,17200.0,83125.0,140000.0,590325.0
61,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,7500000,95.0,120,200925.0,11.3,Fija,13.4,0,100462.5,Mensual,17200.0,89062.5,150000.0,631262.5
62,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,8000000,95.0,120,214320.0,11.3,Fija,13.4,0,107160.0,Mensual,17200.0,95000.0,160000.0,672200.0
63,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,8500000,95.0,120,227715.0,11.3,Fija,13.4,0,113857.5,Mensual,19800.0,100937.5,170000.0,715737.5
64,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,9000000,95.0,120,241110.0,11.3,Fija,13.4,0,120555.0,Mensual,19800.0,106875.0,180000.0,756675.0
65,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,9500000,95.0,120,254505.0,11.3,Fija,13.4,0,127252.5,Mensual,19800.0,112812.5,190000.0,797612.5
66,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,10000000,95.0,120,267900.0,11.3,Fija,13.4,0,133950.0,Mensual,19800.0,118750.0,200000.0,838550.0
67,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,400000,95.0,180,10000.0,11.5,Fija,13.4,0,4484.0,Mensual,1800.0,4750.0,8000.0,34550.0
68,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,500000,95.0,180,11210.0,11.5,Fija,13.4,0,5605.0,Mensual,1800.0,5937.5,10000.0,42737.5
69,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,600000,95.0,180,13452.0,11.5,Fija,13.4,0,6726.0,Mensual,2500.0,7125.0,12000.0,51625.0
70,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,700000,95.0,180,15694.0,11.5,Fija,13.4,0,7847.0,Mensual,2500.0,8312.5,14000.0,59812.5
71,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,800000,95.0,180,17936.0,11.5,Fija,13.4,0,8968.0,Mensual,2500.0,9500.0,16000.0,68000.0
72,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,900000,95.0,180,20178.0,11.5,Fija,13.4,0,10089.0,Mensual,2500.0,10687.5,18000.0,76187.5
73,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1000000,95.0,180,22420.0,11.5,Fija,13.4,0,11210.0,Mensual,2500.0,11875.0,20000.0,84375.0
74,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1100000,95.0,180,24662.0,11.5,Fija,13.4,0,12331.0,Mensual,4000.0,13062.5,22000.0,94062.5
75,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1200000,95.0,180,26904.0,11.5,Fija,13.4,0,13452.0,Mensual,4000.0,14250.0,24000.0,102250.0
76,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1300000,95.0,180,29146.0,11.5,Fija,13.4,0,14573.0,Mensual,4000.0,15437.5,26000.0,110437.5
77,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1400000,95.0,180,31388.0,11.5,Fija,13.4,0,15694.0,Mensual,4000.0,16625.0,28000.0,118625.0
78,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1500000,95.0,180,33630.0,11.5,Fija,13.4,0,16815.0,Mensual,4000.0,17812.5,30000.0,126812.5
79,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1600000,95.0,180,35872.0,11.5,Fija,13.4,0,17936.0,Mensual,4000.0,19000.0,32000.0,135000.0
80,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1700000,95.0,180,38114.0,11.5,Fija,13.4,0,19057.0,Mensual,4000.0,20187.5,34000.0,143187.5
81,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1800000,95.0,180,40356.0,11.5,Fija,13.4,0,20178.0,Mensual,4000.0,21375.0,36000.0,151375.0
82,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,1900000,95.0,180,42598.0,11.5,Fija,13.4,0,21299.0,Mensual,4000.0,22562.5,38000.0,159562.5
83,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,2000000,95.0,180,44840.0,11.5,Fija,13.4,0,22420.0,Mensual,4000.0,23750.0,40000.0,167750.0
84,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,2500000,95.0,180,56050.0,11.5,Fija,13.4,0,28025.0,Mensual,6700.0,29687.5,50000.0,211387.5
85,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,3000000,95.0,180,67260.0,11.5,Fija,13.4,0,33630.0,Mensual,6700.0,35625.0,60000.0,252325.0
86,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,3500000,95.0,180,78470.0,11.5,Fija,13.4,0,39235.0,Mensual,9600.0,41562.5,70000.0,296162.5
87,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,4000000,95.0,180,89680.0,11.5,Fija,13.4,0,44840.0,Mensual,9600.0,47500.0,80000.0,337100.0
